88.46153846,21.42857143,46.58119658,-25.71428571,nan,nan,nan,nan,nan,nan
82.05128205,17.14285714,36.75213675,-27.85714286,nan,nan,nan,nan,nan,nan
76.06837607,11.57142857,25.64102564,-30.42857143,nan,nan,nan,nan,nan,nan
70.51282051,2.142857143,11.11111111,-33,nan,nan,nan,nan,nan,nan
64.95726496,-9,2.136752137,-33,nan,nan,nan,nan,nan,nan
61.11111111,-16.28571429,-6.41025641,-34.28571429,nan,nan,nan,nan,nan,nan
56.83760684,-22.71428571,-12.82051282,-34.28571429,nan,nan,nan,nan,nan,nan
46.58119658,-26.57142857,-16.23931624,-32.14285714,nan,nan,nan,nan,nan,nan
35.04273504,-31.28571429,nan,nan,nan,nan,nan,nan,nan,nan
25.64102564,-32.57142857,nan,nan,nan,nan,nan,nan,nan,nan
14.1025641,-34.71428571,nan,nan,nan,nan,nan,nan,nan,nan
5.982905983,-34.71428571,nan,nan,nan,nan,nan,nan,nan,nan
-3.418803419,-34.28571429,nan,nan,nan,nan,nan,nan,nan,nan
-9.401709402,-34.71428571,nan,nan,nan,nan,nan,nan,nan,nan
-13.67521368,-33.85714286,nan,nan,nan,nan,nan,nan,nan,nan
-32.90598291,-28.71428571,nan,nan,nan,nan,nan,nan,nan,nan
