DI_127;194.4437513;468750000;0.25;8.33333E-07;0.24315314;0.0000005;1000;61;1.00E-07;1.00E-15
DI_128;171.5240929;468750000;0.25;8.33333E-07;0.24315314;0.0000005;1000;61;1.00E-07;1.00E-15
DI_129;819.9625002;468750000;0.25;8.33333E-07;2.431531401;0.0000005;1000;61;1.00E-07;1.00E-15
DI_130;723.3111022;468750000;0.25;8.33333E-07;2.431531401;0.0000005;1000;61;1.00E-07;1.00E-15
DI_131;3457.753193;468750000;0.25;8.33333E-07;24.31531401;0.0000005;1000;61;1.00E-07;1.00E-15
DI_132;3050.177627;468750000;0.25;8.33333E-07;24.31531401;0.0000005;1000;61;1.00E-07;1.00E-15
DI_133;14581.22431;468750000;0.25;8.33333E-07;243.1531401;0.0000005;1000;61;1.00E-07;1.00E-15
DI_134;12862.4924;468750000;0.25;8.33333E-07;243.1531401;0.0000005;1000;61;1.00E-07;1.00E-15
DI_135;5.87084E+11;4.6875E+14;0.25;8.33333E-07;41.57860209;1000000;1000;61;1.00E-07;1.00E-25
DI_136;1.20381E+11;4.6875E+14;0.25;8.33333E-07;20.78930105;1000;1000;61;1.00E-07;1.00E-25
DI_137;1.85652E+11;4.6875E+14;0.25;8.33333E-07;41.57860209;1000;1000;61;1.00E-07;1.00E-25
DI_138;2.31743E+14;4.6875E+14;0.25;8.33333E-07;0.022572338;5E+16;1000;61;1.00E-07;1.00E-35
DI_139;468340299.1;4.6875E+12;0.25;8.33333E-07;8.738470773;0.05;1000;61;1.00E-07;1.00E-20
DI_140;2.86315E+11;4.6875E+14;0.25;8.33333E-07;41.57860209;1000;1000;61;1.00E-07;1.00E-25
DI_141;2.31743E+14;4.6875E+14;0.25;8.33333E-07;0.011286169;5E+16;1000;61;1.00E-07;1.00E-35
DI_142;2.427703025;468750000;0.25;8.33333E-07;0.024315314;0.0000005;1000;61;1.00E-07;1.00E-15
DI_143;162.4453487;468750000;0.25;8.33333E-07;0.24315314;0.0000005;1000;61;1.00E-07;1.00E-15
DI_144;2099.190306;468750000;0.25;8.33333E-07;0.12157657;0.0000005;1000;61;1.00E-07;1.00E-15
DI_145;5.49548E+13;4.6875E+14;0.25;8.33333E-07;0.022572338;5E+16;1000;61;1.00E-07;1.00E-35
DI_146;3.55283E+12;4.6875E+14;0.25;8.33333E-07;0.022572338;5E+16;1000;61;1.00E-07;1.00E-33
DI_147;23096352646;4.6875E+14;0.25;8.33333E-07;1571.57268;500;1000;61;1.00E-07;1.00E-23
DI_148;22121592467;4.6875E+14;0.25;8.33333E-07;1571.57268;500;1000;61;1.00E-07;1.00E-23
DI_149;27163365480;4.6875E+14;0.25;8.33333E-07;2619.2878;500;1000;61;1.00E-07;1.00E-23
DI_150;29238420221;4.6875E+14;0.25;8.33333E-07;2619.2878;500;1000;61;1.00E-07;1.00E-23
DI_151;5019630505;4.6875E+14;0.25;8.33333E-07;523.85756;500;1000;61;1.00E-07;1.00E-23
DI_152;1034690167;4.6875E+14;0.25;8.33333E-07;261.92878;500;1000;61;1.00E-07;1.00E-23
DI_153;631719972.3;4.6875E+14;0.25;8.33333E-07;261.92878;500;1000;61;1.00E-07;1.00E-23
DI_154;1339231844;4.6875E+14;0.25;8.33333E-07;261.92878;500;1000;61;1.00E-07;1.00E-23
DI_155;29412293.61;4.6875E+14;0.25;8.33333E-07;5.2385756;500;1000;61;1.00E-07;1.00E-23
DI_156;6974753.97;4.6875E+14;0.25;8.33333E-07;5.2385756;500;1000;61;1.00E-07;1.00E-23
